name,address,phone,menu,homeUrl
쌍복,부산 부산진구 중앙대로680번가길 81 2층 쌍복,051-809-8807,통삼겹 국물김치찜 김치찜 메밀면Set 고기가지튀김 느린마을 생 막걸리 설하담 Do u know? Just enjoy 붉은원숭이 ,https://pcmap.place.naver.com/restaurant/1770818285/home
무언막걸리,부산 중구 부평2길 27 지하 무언막걸리,051-231-3370,한우양지만두전골 무언삼합(제육두부김치) 한우육회 크림치즈곶감 감자채전 따뜻한 두부와 젓갈 ,https://pcmap.place.naver.com/restaurant/1167315818/home
내고향장승골,부산 부산진구 중앙대로680번가길 29,051-808-1155,,https://pcmap.place.naver.com/restaurant/16444668/home
바보주막,부산 부산진구 새싹로 21-7,051-805-3800,감자채 피자(언저리 메뉴) 주막물회(계절) 시장막회 땡초부추전 먹태 조개탕 녹두전(빈대떡) 조기매운탕 봉하막걸리 오뎅탕 골뱅이무침 꼬막(계절) 계란말이(언저리메뉴) 가오리찜 두부김치 ,https://pcmap.place.naver.com/restaurant/21428955/home
한술당,부산 동래구 충렬대로179번길 27-8,051-926-2498,한술당전골 한우육회 전통주조개술찜&파스타 국물스지수육 수비드오겹살&비빔국수 소고기육전 골뱅이소면무침 명란크림리조또 ,https://pcmap.place.naver.com/restaurant/1186347161/home
초막,부산 연제구 토곡로 5,051-753-1216,돼지두루치기 야채/김치 닭불갈비 빈대떡 김치전 계란말이 해물파전 도토리묵 오삼불고기 가오리찜 가오리무침 골뱅이무침 오징어무침 닭도리탕 김치전골 오징어볶음 ,https://pcmap.place.naver.com/restaurant/38276314/home
교동전선생 부산시청점,부산 연제구 시청로 26,051-868-8898,김치찌개정식 된장찌개정식 순두부찌개정식 ,https://pcmap.place.naver.com/restaurant/21908743/home
솔마루,부산 해운대구 달맞이길 8 11 언덕위의 집 에이동,051-747-5888,"해물파전 빈대떡 두부김치,오뎅탕,알탕,가오리무침,골뱅이무침 각 열무국수 비빔국수 ",https://pcmap.place.naver.com/restaurant/17011019/home
천탁,부산 남구 용소로8번길 46 천탁,0507-1403-2656,막걸리 ,https://pcmap.place.naver.com/restaurant/38009018/home
달,부산 북구 만덕대로40번길 17,051-335-5654,모듬전 소고기육전 반반전 모듬전+볶음 모듬전+어묵탕 모듬전+무침 ,https://pcmap.place.naver.com/restaurant/36538454/home
덕분에,부산 중구 광복로37번길 6 2층 덕분에,051-246-7022,홍어삼합 수육 두부수육 육회 치즈불고기 ,https://pcmap.place.naver.com/restaurant/20406410/home
조선칼국수와통막걸리,부산 동래구 명륜로129번가길 6-5,051-555-3515,바지락칼국수 육개장칼국수(밥) 해물매운칼국수 비빔칼국수 냉콩칼국수(국수) 조선 칼국수 조선 계란말이 조선 김치전 조선 감자전 ,https://pcmap.place.naver.com/restaurant/1356929885/home
천탁 경성부경대 3호점,부산 남구 용소로13번길 26 1층 천탁,010-9938-4667,치즈김치전 게살계란탕 파전 부추전 김치전 ,https://pcmap.place.naver.com/restaurant/1050761950/home
교동전선생 부산서면1호점,부산 부산진구 부전로 42,051-645-8644,교동SET A 교동SET B 육전 모듬전 해물파전 굴전 동굴전(동태+굴) 땡굴전(동그랑땡+굴) 깨순이(깻잎+순대) 동동전(동그랑땡+동태) 동그랑땡 동태전 감자전 땡초부추전 김치전 ,https://pcmap.place.naver.com/restaurant/21908713/home
미도부침개한판막걸리한통,부산 연제구 월드컵대로111번길 6-11,051-864-8486,부추전 해물파전 녹두빈대떡 고갈비 껍데기 닭똥집 두부김치 도토리무침 오징어무침 가오리무침 오뎅탕 동태탕 매운탕 가오리찜 두루치기 ,https://pcmap.place.naver.com/restaurant/1907578057/home
천탁 부경대점,부산 남구 용소로21번길 61 금호빌라 1층,0507-1437-1718,치즈김치전 게살계란탕 오징어무침 양념고갈비 매운무뼈닭발 땡초해물파전(새우+오징어) 통마늘똥집볶음 ,https://pcmap.place.naver.com/restaurant/1264022971/home
달마루,부산 중구 광복로6번길 7-1,051-247-9555,닭도리탕 만두계란탕 두루치기 해물파전 양념꼬막 순대볶음 갈릭버터새우 묵은지삼겹살 알탕 오뎅탕 김치찌개 두부김치 계란말이 ,https://pcmap.place.naver.com/restaurant/16425555/home
항아리,부산 금정구 부산대학로49번길 22 2층,051-513-8388,두부김치삼겹살 부추삼겹살 돼지두루치기 닭두루치기 오향장육 계란말이 닭똥집 뼈없는닭발 오징어무침 오징어볶음 골뱅이무침 ,https://pcmap.place.naver.com/restaurant/16644567/home
찌짐과막걸리집,부산 강서구 명지오션시티8로30번길 20,010-2447-3988,땡초정구지지짐 ,https://pcmap.place.naver.com/restaurant/37983744/home
단비,"부산 기장군 정관읍 구연방곡로 106 402동 133, 134호",051-727-1358,,https://pcmap.place.naver.com/restaurant/1114599722/home
전술꽃,부산 북구 의성로122번길 56-1 1층 전술꽃,051-337-0106,모듬전 한우밀푀유나베 한우육전 해물파전 빈대떡 베이컨치즈감자전 오징어김치전 오징어초무침소면 두부김치 돼지두루치기 쇼가야끼 (돼지고기생강구이) 홍합바지락탕 오뎅탕 해물순두부찌개 간장계란밥 ,https://pcmap.place.naver.com/restaurant/132889224/home
4대조선막걸리,부산 사하구 다송로72번길 57,051-262-9244,,https://pcmap.place.naver.com/restaurant/1278514685/home
연막걸리,부산 부산진구 범일로142번길 55,,과메기+생굴 꼬막+홍합 꼬막 홍합탕 화채 고등어구이 조기구이 명태·가오리찜 오징어철판 낙지철판 쭈꾸미철판 두루치기철판우동 오징어+삼겹+새우 낙지+삼겹+새우 돼지·바짝불고기 ,https://pcmap.place.naver.com/restaurant/1892761047/home
동백1917,부산 수영구 민락수변로239번길 8 1층,0507-1394-1917,하동도토리묵구이 치즈감자전 명란구이 들기름 두부김치 이베리코수육(예약) 부산어묵탕 오븐구이 먹태 ,https://pcmap.place.naver.com/restaurant/1076102542/home
천춘일 식당,"부산 동구 자성로75번길 29 그린빌리지103호, 천춘일 식당",0507-1385-1135,,https://pcmap.place.naver.com/restaurant/1374228065/home
뚜레박,부산 부산진구 대학로 69,051-891-6725,,https://pcmap.place.naver.com/restaurant/21501463/home
꽃다지,부산 사하구 낙동대로536번길 11,051-207-9021,,https://pcmap.place.naver.com/restaurant/1745792311/home
