name,address,phone,menu,homeUrl
술타령,충남 천안시 동남구 청수4로 16 2층,041-556-9876,파전 ,https://pcmap.place.naver.com/restaurant/1340945169/home
누룩꽃피는날 홍성점,충남 홍성군 홍성읍 월산1길 26,041-633-0886,모듬전 치즈듬뿍 불고기파전 해물듬뿍파전 싱싱 깻잎전 외할머니 보쌈 小 외할머니 보쌈 大 왕낙지해물 쫄면볶음 데리야끼 순살 닭 떡볶음 순살치즈철판 닭갈비 한근 제육볶음 철판순대곱창볶음 김치 돼지고기 두루치기 치즈 불닭볶음면 왕낙지 해물짬뽕탕 스팸부대찌개 ,https://pcmap.place.naver.com/restaurant/37230743/home
정선생 천안두정점,충남 천안시 서북구 원두정5길 10 한윤리치빌,041-555-3992,부추불고기 수육 냉채족발 두루치기 불오돌뼈볶음 불쭈꾸미볶음 골뱅이비빔 똥집볶음 두부김치 수제돈까스 정선생7형제튀김 왕새우튀김 대게살튀김 잔치잡채 옛날통닭 ,https://pcmap.place.naver.com/restaurant/31801587/home
솔뫼장터,충남 아산시 송악면 강당로 36,041-544-7554,,https://pcmap.place.naver.com/restaurant/38326023/home
누룩꽃피는날 아산용화점,충남 아산시 용화로48번길 19-15,041-548-8331,오징어튀김즉석떡볶이 나가사키통오징어백짬뽕탕 왕낙지 해물짬뽕탕 스팸부대찌개 얼큰 톡톡 알탕 푸짐 콩나물 불고기 추억의 참치찌개 해물 꼬치 어묵탕 스팸김치찌개 시원모듬조개탕 잔칫집 불낙전골 왕낙지 수제비 조개탕 맑은 어묵탕 ,https://pcmap.place.naver.com/restaurant/36030358/home
음봉양조장,충남 아산시 음봉면 음봉면로 28 충남 아산시 음봉면로 28,041-543-2820,,https://pcmap.place.naver.com/restaurant/31248535/home
옛촌막걸리,충남 천안시 서북구 원두정3길 27 옛촌막걸리,041-523-1255,첫번째상차림 네번째상차림 두번째상차림 세번째상차림 김치꼬막전 김치오징어전 ,https://pcmap.place.naver.com/restaurant/32300332/home
외암마을,충남 천안시 서북구 서부역10길 3,041-592-1116,,https://pcmap.place.naver.com/restaurant/17661010/home
누룩꽃피는날 당진점,충남 당진시 시청1로 79,041-354-5333,마약육전&비빔쫄면 새우완탕 닭다리봉&감자튀김 치즈듬뿍불고기파전 해물듬뿍파전 치즈듬뿍해물김치전 외할머니보쌈 왕낙지 해물쫄면볶음 데리야끼 순살 닭 떡볶음 순살치즈 철판 닭갈비 연탄불고기 김치돼지고기 두루치기 왕낙지 해물짬뽕탕 스팸 부대찌개 오징어 튀김즉석 떡볶이 ,https://pcmap.place.naver.com/restaurant/20958405/home
청석골,충남 천안시 서북구 쌍용14길 75,041-577-5292,국산 홍어 중 홍어찜 간재미무침 중 수육 토종닭 ,https://pcmap.place.naver.com/restaurant/17400361/home
개코막걸리,충남 천안시 동남구 원성11길 11 민지어린이집,041-563-8023,삼합 홍어회 홍어찜 홍어전 홍어무침 골뱅이무침 김치찌개 병어조림 박대구이 두부김치 계란말이 잔치국수 ,https://pcmap.place.naver.com/restaurant/17272399/home
누룩꽃피는날 예천점,충남 서산시 호수공원6로 55,041-681-6202,마약 육전&파채 해물듬뿍파전 치즈듬뿍 불고기파전 치즈듬뿍 해물김치전 싱싱깻잎전 오징어순대보쌈전 잔칫집불낙전골 왕낙지곱창전골 외할머니보쌈 왕낙지해물쫄면볶음 순살치즈철판닭갈비 쫄깃쫄깃야채동집볶음 데리야끼순살닭떡볶음 김치돼지고기두루치기 철판순대깻잎볶음 ,https://pcmap.place.naver.com/restaurant/700350428/home
삼거리주막,충남 천안시 동남구 천안대로 429-13 천안박물관,041-551-6413,한우보양탕 떡만두국 도토리묵무침 해물파전 돼지보쌈 닭볶음탕 삼거리소머리국밥 장터소고기국밥 산채비빔밥 곤드레밥정식 굴밥정식 ,https://pcmap.place.naver.com/restaurant/32505149/home
술담,충남 천안시 동남구 수곡2길 17 성산빌딩,041-576-7352,홍어삼합 모듬전 해물김치전 해물부추전 돼지김치찌개 ,https://pcmap.place.naver.com/restaurant/37348430/home
청담주막,충남 천안시 동남구 서부대로 257-13,041-579-5622,,https://pcmap.place.naver.com/restaurant/1750698088/home
술타령,충남 천안시 서북구 두정로 227 1층(두정동),0507-1480-3404,뒷고기모듬 매운막창 왕해물파전 해물짬뽕탕 ,https://pcmap.place.naver.com/restaurant/1377336339/home
아산동막골,충남 아산시 배방읍 호서로 90 대판,0507-1434-1818,,https://pcmap.place.naver.com/restaurant/21311325/home
주전자,충남 당진시 신평면 거산3거리길 8,0507-1318-3722,모듬전 해물파전 낙지전 굴전 육전 동태전 새우전 깻잎전 고추전 김치전 쭈꾸미볶음 낙지볶음 똥집 골뱅이무침 갑오징어숙회 ,https://pcmap.place.naver.com/restaurant/1979944281/home
성광주조,충남 당진시 순성면 봉소길 41,0507-1407-2123,미담막걸리 1박스(20입) ,https://pcmap.place.naver.com/restaurant/19542120/home
백제인주조,충남 청양군 장평면 안터골길 6-1 장평양조장,041-943-9464,구기토주 ,https://pcmap.place.naver.com/restaurant/20771306/home
부치미,충남 당진시 청룡길 48,041-358-9792,,https://pcmap.place.naver.com/restaurant/1214612092/home
청송얼음골막걸리,충남 부여군 부여읍 사비로99번길 8-5,041-834-6256,,https://pcmap.place.naver.com/restaurant/17568442/home
구름에달가듯,충남 당진시 송악읍 신복운로4길 6-31 구름에달가듯,041-357-2003,,https://pcmap.place.naver.com/restaurant/17705108/home
