name,address,phone,menu,homeUrl
강림통술 1호점,경남 창원시 마산합포구 오동북15길 30 1층,055-3535-3535,2인상 3인상 4인상 5인상 간장게장 (포장) 물회 (추가안주) 찌짐이 (추가안주) 미역국 ,https://pcmap.place.naver.com/restaurant/1166069045/home
비엔나실비,경남 사천시 벌리9길 23 2층,055-832-5442,,https://pcmap.place.naver.com/restaurant/15073282/home
한옥산에산에,경남 창원시 마산합포구 완월북10길 5-1,055-243-3232,흙멧돼지수육 오삼불고기 해물철판 오뎅탕 해물파전 고갈비 두부김치 도토리묵 쭈꾸미무침 가자미구이 ,https://pcmap.place.naver.com/restaurant/11862679/home
이심,경남 창원시 성산구 창이대로460번길 11 2층,0507-1341-5126,이심수육 이심전골 미소조개술국(찜) 새우감자채전 로제크림수제비 꽃게반 조개반 순두부찌개 부추방아오징어전 들기름명란파스타 ,https://pcmap.place.naver.com/restaurant/1617814533/home
천탁,경남 진주시 진주대로516번길 6-1,010-9664-0320,,https://pcmap.place.naver.com/restaurant/1237876355/home
온도,경남 통영시 북신시장1길 19 한선빌딩6층,0507-1382-4799,유린기 차돌박이오뎅탕 김치전 회무침 ,https://pcmap.place.naver.com/restaurant/1923378996/home
정선생 김해인제대점,경남 김해시 인제로200번길 2,055-339-3895,오막콤보 쭈막콤보 크림감자콤보 크림불닭콤보 크림소세지콤보 케이준치킨샐러드 불막창볶음 왕새우구이 옛날통닭 치즈양념감자 윙&봉튀김 닭갈비살 튀김 어묵탕 계란꽃게탕 얼큰꽃게탕 ,https://pcmap.place.naver.com/restaurant/31927583/home
산에산에,경남 창원시 마산합포구 완월남3길 73,055-222-2582,고갈비 두부김치 해물파전 명태전 도토리묵 ,https://pcmap.place.naver.com/restaurant/1090171088/home
막리단길 진주하대점,경남 진주시 도동로 238 1층,055-752-9282,막리단길 한상쟁반 돼지고기파전 고기김치전 해물파전 ,https://pcmap.place.naver.com/restaurant/1294511534/home
태백이주막 산호점,경남 창원시 마산합포구 산호시장길 51,0507-1418-9135,한우생육회 대구뽈찜 통 가오리찜 과메기 ,https://pcmap.place.naver.com/restaurant/15247762/home
풍경소리,경남 진주시 평거로18번길 5,055-745-4663,국내산 홍어삼합 해물파전 구롱포 과메기 가오리 회무침 동태탕 두부김치 두부수육김치 닭도리탕 오뎅탕 서대구이 명태조림 부대찌개 ,https://pcmap.place.naver.com/restaurant/15511295/home
전에그집,경남 양산시 양산역로 73 1층 103동,0507-1321-1732,육전 감자전 김치전 해물파전 해물땡초부추전 떙초스지오뎅탕 개운한동태탕 찰순대곱창전골 떙초김치찌개 ,https://pcmap.place.naver.com/restaurant/1453804089/home
지리산찹쌀동동주,경남 진주시 도동로247번길 9,055-752-7579,,https://pcmap.place.naver.com/restaurant/15477771/home
정선생 창원대점,경남 창원시 의창구 퇴촌로 31 일성빌딩,055-283-6789,,https://pcmap.place.naver.com/restaurant/31038328/home
토방,경남 김해시 진영읍 김해대로407번길 9,055-346-3717,해물파전 땡초부추전 감자빈대떡 육전 명태전 ,https://pcmap.place.naver.com/restaurant/21588502/home
막리단길 고성점,경남 고성군 고성읍 중앙로43번길 8 2층,0507-1339-9409,쟁반술상 ,https://pcmap.place.naver.com/restaurant/1416960155/home
북촌민속주점,경남 양산시 동면 금오10길 10-1,055-381-5046,,https://pcmap.place.naver.com/restaurant/37126838/home
형제봉주막,경남 하동군 악양면 입석길 40-1 1층,010-8025-3302,,https://pcmap.place.naver.com/restaurant/33001607/home
사랑채,경남 창원시 마산합포구 교방북2길 35,055-222-2700,낙지볶음 찜닭 닭도리탕 가오리무침 골뱅이무침 오리훈제 무뼈닭발 오•똥볶음 두부김치 고갈비 해물파전 해물부추전 굴전 과메기 소 낙지탕 ,https://pcmap.place.naver.com/restaurant/37905015/home
장금이왕빈대떡,경남 진주시 강변길10번길 31,055-753-3858,옛날빈대떡 왕빈대떡 모듬전 소고기육전 가오리무침 해물파전 부추전 ,https://pcmap.place.naver.com/restaurant/20066520/home
이현동 옛날주막,경남 진주시 서장대로 292-1 1층 이현동 옛날주막,055-743-5552,해물파전 홍어삼합 명태찜 한우육전 두부김치 소고기전골 닭곱창전골 닭볶음탕 김치찌개 돼지수육 두루치기 고추전 나막스(1마리) 알탕 어우동 ,https://pcmap.place.naver.com/restaurant/21060840/home
바보주막,경남 양산시 양산역로 105 골든프라자204호,055-388-8967,,https://pcmap.place.naver.com/restaurant/1238507203/home
정선생삼문점,경남 밀양시 미리벌중앙로3길 12-6,0507-1468-1379,,https://pcmap.place.naver.com/restaurant/446167549/home
쌍둥이통술,경남 창원시 마산합포구 오동북19길 15,055-242-7522,,https://pcmap.place.naver.com/restaurant/15267223/home
