name,address,phone,menu,homeUrl
옛촌막걸리 본점,전북 전주시 완산구 서신천변로 11 옛촌막걸리 본점,063-272-9992,[런치세트] 한주전자 [런치세트] 두주전자 [런치세트] 세주전자 커플상 가족상 잔치상 스페셜상 김치찜 철판보리굴비 홍어삼합 들깨삼계탕 간장게장밥 대하구이 족발 떡갈비 ,https://pcmap.place.naver.com/restaurant/11886663/home
용진집막걸리,전북 전주시 완산구 거마산로 14,0507-1314-8164,가족한상차림 커플상 보리굴비 막걸리(1병) 소주/맥주 모주 바나나막걸리 밤막걸리 음료 ,https://pcmap.place.naver.com/restaurant/13420132/home
옛촌막걸리,전북 전주시 완산구 팔달로 144-4,063-232-9991,한상 (기본상) 옛촌 작은상 두상 세상 네상 저세상 옛촌 큰상 김치찜 철판보리굴비 홍어삼합 들깨삼계탕 간장게장밥 대하구이 족발 떡갈비 ,https://pcmap.place.naver.com/restaurant/37462977/home
남도집,전북 전주시 완산구 거마산로 11,0507-1320-1636,3~4인 남도한상 2인상 기본상 간장게장밥 홍어삼합 홍어회 닭모래집볶음 왕조기구이 저염명란구이 육전 ,https://pcmap.place.naver.com/restaurant/34836869/home
두여인생막걸리,전북 전주시 완산구 거마산로 9,063-221-0271,국내산 쌀막걸리 커플상(2인기준) 가족상(3~4인기준) 스페셜상차림 ,https://pcmap.place.naver.com/restaurant/21037891/home
다가양조장,전북 전주시 완산구 전주객사1길 5 세일건재한약방,063-231-5210,"새참(보쌈,골뱅이무침,부침개set) 여러지역 막걸리 국물냄비닭발 닭똥집볶음 골뱅이쫄면 부침개 다가밥 ",https://pcmap.place.naver.com/restaurant/394705492/home
천년누리봄,전북 전주시 완산구 경기전길 38-8,0507-1303-8813,[저녁]명품양반상 [점심]제육 강된장쌈밥(2인이상) [점심]연잎수육 강된장쌈밥(2인이상) [저녁]임금님수리상 [저녁]임금님잔치상 [점심]누리비빔밥 해물파전 폭탄계란찜 모주한잔 ,https://pcmap.place.naver.com/restaurant/21037887/home
옛촌막걸리 삼천점,전북 전주시 완산구 거마산로 22 1층,0507-1319-5477,커플상(2인) 가족상(3인) 잔칫상(4인) 큰상(5인) 한상 두상 세상 네상 다섯상 저세상 막걸리 한 주전자 막걸리 반 주전자 밤 막걸리 ,https://pcmap.place.naver.com/restaurant/1587280401/home
복막걸리,전북 전주시 완산구 거마산로 12,063-224-3062,커플상 가족상 스페샬 모듬전 육전 동태전  호박전  버섯전 고기깻잎전 고기김치전 꼬치오색전 ,https://pcmap.place.naver.com/restaurant/17461188/home
길손네학사주점,전북 전주시 덕진구 권삼득로 321,063-271-6453,닭도리탕(한마리) 닭도리탕(반마리) 김치찌개 된장찌개 제육볶음 두부김치 오징어볶음 ,https://pcmap.place.naver.com/restaurant/17040255/home
옛촌막걸리,전북 전주시 덕진구 동가재미1길 24-9 옛촌,063-247-5550,기본상(막걸리+치킨+김치찜+전+묵+탕 커플상(기본+간장게장밥+버섯구이) 스페셜(기본+커플+대하구이(낙지)+족발+후라이 옛촌정식(기본+커플+스페셜+삼합+전병+은행구이 홍어삼합 대하구이 간장게장밥 오리훈제 족발 ,https://pcmap.place.naver.com/restaurant/21052348/home
누룩꽃피는날 전북대점,전북 전주시 덕진구 명륜3길 18-1 2층,063-271-2216,왕낙지해물쫄면 마약육전&쫄면 ,https://pcmap.place.naver.com/restaurant/13573455/home
동막골,전북 남원시 요천로 1537 동막골,063-625-8953,연탄돼지갈비 돼지고기주물럭 갈비전골 갈비찜(소) 갈비찜(중) 낚지볶음 황태구이 파전 삼합 ,https://pcmap.place.naver.com/restaurant/17331600/home
골목집막걸리,전북 전주시 덕진구 송천중앙로 106-4,,,https://pcmap.place.naver.com/restaurant/1895270899/home
누룩꽃피는날 원광대점,전북 익산시 익산대로58길 34,,치즈듬뿍 해물김치전 치즈듬뿍 불고기파전 해물듬뿍파전 부추야채해물전 마약육전&비빔쫄면 싱싱 깻잎전 외할머니 보쌈 소 외할머니 보쌈 대 유자샐러드 족발 항아리 골뱅이 쫄면 왕낙지 해물짬뽕탕 스팸부대찌개 얼큰톡톡 알탕 나가사키 통오징어 백짬뽕탕 왕낙지곱창전골 ,https://pcmap.place.naver.com/restaurant/1819736628/home
홍집,전북 군산시 동신영길 47-3 홍집,063-446-9912,막걸리(한주전자) ,https://pcmap.place.naver.com/restaurant/13400002/home
가인막걸리,전북 전주시 완산구 동문길 28,063-282-6455,막걸리(한 주전자) 4인한상차림 2~3인상 제육 오징어볶음 새우튀김 족발 ,https://pcmap.place.naver.com/restaurant/13420133/home
반구절점,전북 전주시 완산구 전라감영4길 16-7 1층,0507-1369-8996,순두부 찌개 김치 치즈 전 스틱 불고기 메밀 쌈 육회 타르타르 모둠 어묵탕 베이컨 감자전 (feat. 치즈) 부추 새우 전 스틱 대패 제육볶음 떡갈비 지짐 토마토 범벅 팽이버섯 튀김 어란 슬라이스 명란구이 수제약과 들꺠라면 ,https://pcmap.place.naver.com/restaurant/1319476577/home
전주막걸리,전북 전주시 완산구 거마산로 16-1,0504-2015-1938,커플상(2인) 가족상(3-4인) 스페셜(4인) 게장밥 삼합 산낙지 석화 계란찜 ,https://pcmap.place.naver.com/restaurant/37351776/home
누룩꽃피는날 중앙점,전북 전주시 완산구 전주객사3길 11-7 1층,0507-1423-4701,막걸리 왕낙지 쫄면 볶음 ,https://pcmap.place.naver.com/restaurant/38273963/home
유랑,전북 전주시 완산구 석산1길 16 102호 유랑,010-2811-6488,,https://pcmap.place.naver.com/restaurant/1589755624/home
누룩꽃피는날 아중점,전북 전주시 덕진구 아중중앙로 5,063-242-1331,모듬전 치즈듬북 불고기 파전 마약육전& 비빔쫄면 오징어순대 보쌈전 치즈듬뿍 해물김치전 해물듬뿍파전 싱싱 깻잎전 외할머니 보쌈 왕낙지곱창전골 잔칫집 불낙전골 왕꼬막야채 쫄면무침 항아리 골뱅이 쫄면 왕낙지 해물 쫄면볶음 데리야끼 순살 닭떡볶음 순살치즈철판 닭갈비 ,https://pcmap.place.naver.com/restaurant/37944209/home
손수막걸리,전북 전주시 완산구 중산로 20 1층 손수막걸리,0507-1305-6237,,https://pcmap.place.naver.com/restaurant/1780923589/home
옛촌막걸리 나운동점,전북 군산시 하신1길 14 아와비,0507-1409-8695,첫번째 두번째 가자미 계란후라이 전 ,https://pcmap.place.naver.com/restaurant/233725121/home
누룩 전주객사점,전북 전주시 완산구 전주객사2길 11 1층 누룩,0507-1429-7401,,https://pcmap.place.naver.com/restaurant/1483090114/home
새참막걸리,전북 전주시 덕진구 권삼득로 233-1,063-906-2155,생막걸리 첫주전자 알밤 첫주전자 소주2병 or 소주1+맥주1 닭볶음탕 닭똥집 홍어탕-대 홍어탕-소 홍어찜 조기구이 조기매운탕 두부김치 제육볶음 국물닭발 김치찌개 토종백숙 ,https://pcmap.place.naver.com/restaurant/38561982/home
김삿갓막걸리,전북 정읍시 청수3길 26-1 갈비하우스,063-536-7003,,https://pcmap.place.naver.com/restaurant/17304188/home
소리마당,전북 전주시 덕진구 건지산로 53-1,063-277-1869,참옻닭 묵은지닭볶음탕 한방백숙 고추튀김 비빔국수 ,https://pcmap.place.naver.com/restaurant/17040263/home
다정집,전북 전주시 완산구 상거마4길 25 (삼천동1가) 1층,063-223-9116,커플상 가족상 스페셜 병치 삼합 ,https://pcmap.place.naver.com/restaurant/1463453753/home
물레방아막걸리,전북 전주시 완산구 거마산로 10,063-221-3971,,https://pcmap.place.naver.com/restaurant/1091208046/home
옹심이전주1호점,전북 전주시 완산구 산월2길 28,063-237-5281,,https://pcmap.place.naver.com/restaurant/20495950/home
