name,phone,address,menu
화실,0507-1397-2490,서울 노원구 한글비석로20길 62 송림빌딩 101호,사태&스지 찜 [계절안주] 제철 대하탕 불고기 트러플 크림 파케리™ [계절안주] 토마토 홍합탕 청어알 들기름 냉파스타 명란감자구이 [계절안주] 새우 리조또 들기름 메밀면과 두부구이 청어알 두부쌈 인절미 젤라또 
막끌리네,02-555-8861,서울 강남구 삼성로104길 17,"차돌박이육전 꼬막 살얼음생막걸리 살얼음밤막걸리 프리미엄막걸리 홍어삼합 닭볶음탕(빨간닭,노란닭,까만닭) 도토리묵무침 묵사발 감자전 굴전 고추장찌개 김치제육볶음&두부한모 치즈감자전 김치보쌈 "
신라의달밤,032-516-0365,인천 부평구 광장로30번길 23,오징어무침 도토리무침 골뱅이무침 묵사발 가오리찜 
시골막걸리,032-655-3147,경기 부천시 석천로2번길 64,
교동전선생 광화문점,02-737-4042,서울 종로구 새문안로5가길 3 성보빌딩2층,모듬전 육전 해물파전 굴전 
뒷골목전집,070-4064-2747,경기 수원시 권선구 권광로56번길 17,감자전 안주류 
막걸리집 갈매기의꿈,032-433-2030,인천 남동구 문화로89번길 8-3,두부만두전골 (대) 두부만두전골 (중) 두부보쌈 (대) 두부보쌈 (중) 두부김치/ 두부샐러드/ 해물순두부 두부젓국탕 함박갈매기 치즈계란말이 두부피자 모듬전 해물파전 동태전/ 감자전 김치전 홍어전 모듬안주 4인
신당 다락 이팅로프트,0507-1393-6822,서울 중구 퇴계로90길 14-3,해물 순두부찌개 족조림 아롱사태스지수육 칼뱅이 동래해물파전 장땡이 버섯스지전골 보들탕 곰소 젓갈과 흑임자 두부 주인맘 디쉬 
막걸리이야기 서초점,02-522-1516,서울 서초구 반포대로28길 21-12,감자채전 통영가리비찜 
초가집,02-2606-7747,서울 강서구 강서로5나길 50 일성스카이빌,해물파전 
교동전선생 강남쌍용점,02-565-0850,서울 강남구 테헤란로4길 46 138호,모듬전 눈꽃감자전 김치전 해물파전 불고기파전 
강화찬우물고향생막걸리 가산직영점,02-854-4674,서울 금천구 벚꽃로38길 32,모듬전 홍어전 해물파전 전병 김치전 미나리전 부추전 고향세트 홍어삼합(편육) 묵은지홍어사시미 
물뛴다,02-392-4200,서울 서대문구 경기대로 43,물뛴다 샘플러 저녁) 김치생두부 점심) 두부명란젓국 점심) 소고기뭇국 점심) 한우제물국시 저녁) 몬트락보쌈 두부김치찌개2-3인 두부김치찌개 3-4인 민어찜 정식 얼큰돼지찌개 두부젓국 콩국수 강된장 비빔밥 수제 두부김치 수제두부전
월선네 모란역점,031-745-0040,경기 성남시 중원구 산성대로80번길 8 프레젠티아,월선네한우국밥 청국장과황태구이 청국장과제육볶음 홍어삼합-소 닭볶음탕-소 제육볶음 두부랑김치 황태구이 동태전 황태전 모듬전 해물파전 
전통주점 꿀막,0507-1328-7115,서울 은평구 진흥로 185 1층,차돌순두부전골 제육볶음 해물파전 두부김치제육 
포천이동생막걸리,032-582-5558,인천 서구 가정로 180,
싸립문을밀고들어서니,0507-1307-5917,서울 종로구 인사동길 15-11,부추전 김치전 도토리묵 두부김치 치즈불닭 
동동이네,032-773-7366,인천 중구 우현로67번길 33,미니닭꼬치 모듬소세지 골뱅이소면 두부김치 왕새우튀김 
양산골주막,031-377-7371,경기 오산시 한신대길 113,
막걸리나 2호점,,경기 시흥시 호현로22번길 20,
부쳐부쳐부침개,031-465-9995,경기 안양시 만안구 안양로405번길 24,모듬전 동태전 녹두전 김치전 감자전 동태탕 메밀전병 닭발 
뉴욕막걸리,0507-1334-4878,서울 마포구 양화로6길 21 1층 별관 뉴욕막걸리,오징어순대 고기 김치전 고기 녹두전 해물파전 감자전 도토리묵 골뱅이무침 숯불 춘천닭갈비 더덕구이 숯불 두루치기 해물떡볶이 명란구이 두부김치 얼큰 알탕 해물 계란탕 
교동전선생 잠실점,02-424-1202,서울 송파구 올림픽로35가길 9 잠실 푸르지오 월드마크,모듬전 
열차집,02-734-2849,서울 종로구 종로7길 47,"원조빈대떡(3장) 굴전 해물파전 조개탕 두부전, 데침 고기 빈대떡(3장)"
옛고을주막,031-466-8600,경기 안양시 동안구 평촌대로223번길 65 범계빌딩 B04호,해물파전 
늘마중,02-730-2985,서울 종로구 인사동10길 11-5 1층,
주막집,032-832-8494,인천 연수구 청학로6번길 86,번게기탕 두부탕 돼지김치찌개 코다리조림 닭볶음탕 가자미구이 갈치구이 
전주전통막걸리,02-532-8584,서울 서초구 사평대로 362 1층 102호,도토리묵무침 사계절주 꼬막데침.무침 홍어삼합.찜(중) 해물파전 부추전 감자전 목살고추장찌개 대구탕 십칠주 백수환동주 무영막걸리 마막걸리 감칠주 
행복한집,02-747-2324,서울 종로구 돈화문로11길 20,
흰고개검은고개,032-881-2493,인천 미추홀구 석정로 204,
